quantity,value,uncertainty,notes
log_M_btfr6_26_corrected_edgeon,8.620356660762642,0.2507387334341557,"Ubler 2017 eq. 6.26, instrumental-broadening corrected, edge-on (i=90deg)"
log_M_btfr6_26_corrected_45deg,9.184787902632609,0.2507387334341557,"Ubler 2017 eq. 6.26, instrumental-broadening corrected, i=45deg"
SFR_MZR,-0.1636770352296154,1.404835379506118,"higher of two real roots (Mannucci+10 eq. 2, edge-on mass); rejected lower root log(SFR)=-5.495 as unphysical/near-zero SFR"
Halpha/Hbeta_cumulative,3.234484338422482,0.3479554834047017,"observed, pre-dust-correction fluxes"
Hgamma/Hbeta_cumulative,0.555986424320331,0.0977909624722504,"observed, pre-dust-correction fluxes"
Halpha/Hbeta_central,2.780403295600789,1.5715055285481498,"central component, observed fluxes"
Hgamma/Hbeta_central,0.499409751643657,0.2808347149938428,"central component, observed fluxes"
Halpha/Hbeta_blue_wing,4.800158415857035,3.456513604174756,"blue_wing component, observed fluxes"
Hgamma/Hbeta_blue_wing,0.826126854045069,0.6643641726834337,"blue_wing component, observed fluxes"
Halpha/Hbeta_red_wing,3.539471480192557,4.046662054614118,"red_wing component, observed fluxes"
Hgamma/Hbeta_red_wing,0.5524929882801486,0.7378944638882173,"red_wing component, observed fluxes"
E(B-V)_cumulative,0.1244157591678729,0.1087726869121584,derived from cumulative Halpha/Hbeta decrement
abundance_cumulative_12log(O/H),8.048218541341635,0.3129856640063304,KD02 R23 branch-averaged method
log_q,8.203311675277122,0.1661404999949569,KD02/KK04 ionization parameter
